Run command: "java  -classpath .:./bin:./libs/api-1.1.0.jar:./libs/gson-2.2.jar main/ClusterAnalyzer" 
--------------------------
User 38998 had most receipts
User 31124 had most money received
1NzREjJnRHianNXojYKA1eVHxtxtHBPVQs Paid the FBI with ID 51234
1AAksBYEK4yeKMdVYRZKFrwR2veQUAmkAL Paid the FBI with ID 51234
1Cy7tEHJTyKPas6vAdX5gTGxf3oMuTG24J Paid the FBI with ID 51234
1CLomQgWmnW7TNAaZzYbHr3LQ8Yq6pp1xS Paid the FBI with ID 51234
16uZ3fGT23RoALx2cUeHkiLCiJEAn35JAo Paid the FBI with ID 51234
1JDjuYynzPYzevrjobaUeTxjoqKwehfngn Paid the FBI with ID 51234
1MrRgGd7Ygs8LTgacoVYaTGTUw5j9m5zjU Paid the FBI with ID 51234
1BoNm9XVrVFjATah7LHF97XaFQUJmrjtLR Paid the FBI with ID 51234
1MvhNPkcq3Qck4s47hQU9KsChrEYAzMfgS Paid the FBI with ID 51234
16xSNtt9i8b876Ppm6UzBRp3LeCmsArLaS Paid the FBI with ID 51234
124LxfcGq6MRX2p2F3VD8Y416KLHdJh6LC Paid the FBI with ID 51234
1K7cGAU35HaU9ZKRGkJCRW2jpYaYtadp6C Paid the FBI with ID 51234
1HLbgvacneJWhsq5VrjjjB6nEzFF6m4AGW Paid the FBI with ID 51234
1DesUykbENEsMrr1faASA4du5jUFzqGuWV Paid the FBI with ID 51234
1AfLBNaTxYku8RwT9E96qMtuRkUtiNVpGL Paid the FBI with ID 51234
1L7i9bkTXcWRXWCf1yEyVXohSchh27mUmx Paid the FBI with ID 51234
1PWw3XTB2oZZBUyCZBu658bMLZMfCH44r8 Paid the FBI with ID 39972
1KkoVYCNSJZvKhN8nTmYRLViLMvavXcBZr Paid the FBI with ID 7205
1KQbUg56hpQNeBbLNtWdthcSwvg8CwmmLW Paid the FBI with ID 12326
1H9waXxgAikarErwwoHa6SjBVmdoovu6Y6 Paid the FBI with ID 12326
1SJhsQrN4oLD3gsNYemByxAxfzZH2evf9 Paid the FBI with ID 12326
19zvgRR44nQ6oVEpMgwxAn7Jo488RMovTt Paid the FBI with ID 12326
1NMk57Mbig9MBUrC96MMyK2jvKPLMXfTTK Paid the FBI with ID 12326
1Q5y2vnrR7ve3B4R4GCT4WnXeT8avsTwfj Paid the FBI with ID 12326
12MAB61WpKZuFMhg9iFS5w558fgnZKjtfR Paid the FBI with ID 12326
18N3s6Uyw6aQkMUxRmRb1HAWCZCShAyFNZ Paid the FBI with ID 12326
1NrdrQfTpyYmUBTkQoMyy9z5aZAvmyw1aW Paid the FBI with ID 12326
154vr1YWRPaTvKmP1MBzkE5m2JSRhNcfXP Paid the FBI with ID 12326
1VLwX1ZUXnqHNgeZcoPfn1wyi4X9h4h3q Paid the FBI with ID 12326
1EZ2qZsLt1EG2wEtXPVefduyBWuoAm9Kt4 Paid the FBI with ID 12326
16mLbpKWKLRw8wx2ziGf5Q6WPCoGh8kWzv Paid the FBI with ID 12326
1NrFgpSbJ4bNd9P1SfNEzP9QpNuC6wwJ2S Paid the FBI with ID 12326
1iznZ3iQPMdTQ9XXmLXHozKNn392tLDwN Paid the FBI with ID 12326
1Q45r2y28SkQHXL3BziwwSkYMpXUvxCo7P Paid the FBI with ID 12326
17QUGYhpqUk3yeFRY7Q678pSAE1cj8a6h9 Paid the FBI with ID 12326
1LmcWbXydCjtU4PvVVESqLUbHZwybM23Qn Paid the FBI with ID 12326
194yEnyo1Vmq2TSb1KdiBVtBm6k68h5Rgk Paid the FBI with ID 12326
17QofeAnRGStQFkpaeU2rr14UgzxJY6sDx Paid the FBI with ID 12326
1FbFTrMCSXzd86eiHn7SaTeUJ4ctohMx4J Paid the FBI with ID 12326
1A6MZFbix8e6V3AmP3n8aAiToP2R8nBfR7 Paid the FBI with ID 12326
19o1AUdD1z5LzfHGtvHuKvE7PycjGJL3ju Paid the FBI with ID 12326
1BJfiwXBkh1LJ9ycovpGTUECtM7A9ewUdY Paid the FBI with ID 12326
15pzLRcE15w79QMunMrp2TyBRbaWYR8rk3 Paid the FBI with ID 12326
1K9MC3T22EMGEgvbdGMV3FBNDCcxuLpGfz Paid the FBI with ID 12326
19pomJkGz9mQPD3r3BD27p1hxPrQNt56mN Paid the FBI with ID 12326
1JbCZ88rtsM7fson83ZYxBp3me631UtCnK Paid the FBI with ID 12326
1JgQmDGm8Ey8xchNBg1B4W6cwcXSUKcAhG Paid the FBI with ID 12326
16cRAVr2DtdBcpnksuj8C4Tuoo3eUdRanm Paid the FBI with ID 12326
1Lc8zf23jRMLo2hX3rhbUxgkgmW8cZyhaB Paid the FBI with ID 12326
1FXtwStoTdmA3QWU2TiuixiZrgUbSCsPrX Paid the FBI with ID 12326
16X69TE6RGtGNPS4ExetvTCvgPccWkGiUt Paid the FBI with ID 12326
16RkCbZ1BB9Lbr3xKoXAhhJ9DbVG5ZkmqL Paid the FBI with ID 12326
1BQvdHeKLAP1C89255UXj13hEzLbEqgEmd Paid the FBI with ID 12326
16FR6DwiC2mpnymZP2KzNAZGqMFeR2hqw4 Paid the FBI with ID 12326
1EnTQQsScTXQYVdr5LLca8HiomQNvATJPk Paid the FBI with ID 12326
1DjxZj1dnumnM3JzmipD4bpeXnaMjTph7C Paid the FBI with ID 12326
1P1naGb4MWFkv5jt7rX1f76W8wksVFzsPt Paid the FBI with ID 12326
19oKmsqm6Veg3yHMjBeXamr4ietKdXMxxW Paid the FBI with ID 12326
1A953Dk6mdvbmuWoHf1GVEK7UQxwqF7bcA Paid the FBI with ID 12326
1DNcC932nTSJ5L1XzWV6wWTy8YFPSBjG2S Paid the FBI with ID 12326
1CtnGmP8V9gzkpaHfx4e3WtbEFt4H2vRnc Paid the FBI with ID 12326
1Dw47xQVfxPhcLkKkLoeGc8JUK6DF3fPTa Paid the FBI with ID 12326
1MTcgeKmAv6bXaWYq2RTYxSFMNzrocaoQG Paid the FBI with ID 12326
1PrySKW7yFvNvJbSkBPz5MqwfzZnPEkaMZ Paid the FBI with ID 12326
13Ku15TUiQXEtKq9QZKX14Ly7WZV16Q8gU Paid the FBI with ID 12326
1DoW3LrMMhrXNPo6mN7gJFFVQVPfVqXM5Y Paid the FBI with ID 12326
17tcTvbo5t5HK1ZU84ENHpUPdSJyKkPyUR Paid the FBI with ID 12326
1BqGG5kUprik3TjGaF5QJNzRVbgv68FdSe Paid the FBI with ID 12326
13Fb8KzcmRCcf3aLwAVseWG6HF1cDBKpRJ Paid the FBI with ID 12326
1Hqp9pZeV4EJXhf7DqupnZXJdLo2ga5BNn Paid the FBI with ID 12326
1D13cynLc9f68ggHw6DnK9LbcccL5Jtup6 Paid the FBI with ID 12326
1LTaCGkpYcTSHJur3cWzefqZBbdba7HZgS Paid the FBI with ID 12326
1LRgyAAYMf8Xoeeh7b9aRrdEAZRYQ38EPY Paid the FBI with ID 12326
1EcTdcjLAcxnn6USBMB1hVe9px89tshJnJ Paid the FBI with ID 12326
12GsSZ6qrP9fZTL9Fb3X5cdJq8KYowkW5S Paid the FBI with ID 12326
1FkyazHBY7wtonjz1NVva5W2VMtoW7WpCA Paid the FBI with ID 12326
19tZPxShQWcAwPgrST7WvmhfBV1SPWUXLr Paid the FBI with ID 12326
1JTEecfCNC3ACeBDPe5s4TYLX1p2WP4tne Paid the FBI with ID 12326
1QJQqS6TmTi1mtPs4Yq8m4P8CVNNPzez1E Paid the FBI with ID 12326
1st9JRNZGEBM9BkXYrzpMjit6LBvhowMC Paid the FBI with ID 12326
16x46zU4qAq8HnBbVEo5Re5ZtmYTJeYES7 Paid the FBI with ID 12326
1HtUZieEgPT9b2Vuko4BxVFP6Whua2mkuq Paid the FBI with ID 12326
1FtdMALzE9DgtqyJPmiCcHgC7sG7x8rejD Paid the FBI with ID 12326
1GYFFyWTEnZEqHGsTygxLypsHRHLegLWzS Paid the FBI with ID 12326
1Ks7ygak6WGvb5Wjihg2N1HoyC7FgqxN8r Paid the FBI with ID 12326
12P97RM1dPJUQrAxJdNqCwGCFNbRNDqtUN Paid the FBI with ID 12326
1Bwiq53XqFrZWU8PtTPeHQ4tNrsT4HdJ1j Paid the FBI with ID 12326
1EsUkt2bVTe1tjR6gH37s1cVLwEJJDFtVR Paid the FBI with ID 12326
18MADi7xTvQ2NbwZaRDQSGqnmEsUpGKQSX Paid the FBI with ID 12326
1Cs69dnDu3S46ejtAN6PxvkMo1jN5VxaRj Paid the FBI with ID 12326
1Px8uBLnpJkFdJGsLCP2AUe79i7YKUfrSH Paid the FBI with ID 12326
1PmjZH6311N8WBERcjdiGoJvmGKXXxZRA4 Paid the FBI with ID 12326
1755ESYgZkQVa3uZfNJijjmASFz9JA7UAE Paid the FBI with ID 54316
1Q8hfgJhXfnsQ39Q4rsQkpeXPUrreRKTZF Paid the FBI with ID 6193
1CPBT17GrVp6WQer1tGhkqAVTNga9NiBsP Paid the FBI with ID 22578
12qNtqGBuax3i5rNUS4cR8B8j1t2JbNeGx Paid the FBI with ID 38965
16M9nACZjdxBTgZD9ZKYq1rDLkv3ujcdzx Paid the FBI with ID 6198
1Dw3dGXaSpLa8cTw5W48fxR57doyHAWbV5 Paid the FBI with ID 25656
1LvUyNv94tEbaExN2PTooc3XokUTGBTHTo Paid the FBI with ID 21561
1Q7H33JJs9UdxgJQQ6pG9Y4zRUopk8NAUb Paid the FBI with ID 1081
1CyskcTXD7by5mdrg1vsTmFqrPUWHZSEow Paid the FBI with ID 22585
18fj7MSHB6rvJE6LfrkbHBwzGa1i3NXysy Paid the FBI with ID 36926
19VWhUYZ4X6whbZSrwBKMNJoSM3hPpvzi2 Paid the FBI with ID 27712
1Fdi7uUBiYQogFEgTEsPCQZv2qC8WRLwGD Paid the FBI with ID 35904
1AhkMwEWeQhH6kXNqku9fnQiswaac8Qe2a Paid the FBI with ID 3141
1D6GX7cn5oqoeEWDArfVDfUHBebK4s5Mn5 Paid the FBI with ID 37960
15s3KrUuhWXeC4YZNr4epTSrooVUMcf8QQ Paid the FBI with ID 32841
1C2ipf9EAavDAS5EYhVHkqjzZFs4FPgszV Paid the FBI with ID 34889
186xeyXQUxMWJKwNVkgKciRLZnqTGcVFCx Paid the FBI with ID 38986
1CCngfWLiaetpV6n5vXW14PNzbJvNjsftn Paid the FBI with ID 26699
18JjqsuPqHvKYceZQiWbg5jjTgSiXsE49J Paid the FBI with ID 58444
1CDP56x3mYeUsvqPC3doRzNESTHV7MsEuz Paid the FBI with ID 15441
15xCcLvJYTmwKiEA1jmR36vrnzE11jGfYc Paid the FBI with ID 48212
1Cp2Xo1sgLkecSyPecRA6Uf2KGca4NbtDV Paid the FBI with ID 7258
1Er1ZsjmY6QgaF13oSefyuiDZVUufUdXaY Paid the FBI with ID 50267
1Pt42pTpy1i4D1XfFtvuvL7CMLMo4tVF8v Paid the FBI with ID 30816
16fR9T4eifRWMt1z1yHccniBK3Z5qxCXL1 Paid the FBI with ID 48228
16X6TXjacxt6gjgMxnhmoW5A5QZZJJ2zLb Paid the FBI with ID 17509
1HmQfExDgdnqGftdcYfvsrny8xNR3jvjvJ Paid the FBI with ID 17509
1GMN134J6dPopthmXko3gG7TU9k9xB6hfW Paid the FBI with ID 17509
1KVhVKGMTkqLkoS9SLgwtmDoMdTvSosxCS Paid the FBI with ID 17509
15vfpURJbXmf9yTkvdf6Xuh2DubM8PsiFu Paid the FBI with ID 17509
1EFJ7Rq8Nz2QaXRrn78LvWiwg3mNvfTF5H Paid the FBI with ID 17509
1HRKXuNgudBhMUXUB2Li7KYAgPGBZR75Xh Paid the FBI with ID 17509
19XTZjjJZN5HyZTcdScxSakytJU6BNxKdT Paid the FBI with ID 17509
12dKtBY4iQXf5WvAeNLVLRb1wUHEyC1VzH Paid the FBI with ID 17509
13GN1RvBrGuTPVSg4MP6t37XEdV5yy3mej Paid the FBI with ID 17509
1BtUbKY9mP2rmsFsB7DS3AG7f9ujqyXG7v Paid the FBI with ID 17509
1Py3gTWwzKwiqXMqtgswKHCuzpjg1XJ3eK Paid the FBI with ID 17509
